amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
002-4296620-2498600	002-4296620-2498600	2024-02-24T21:48:09+00:00	2024-02-25T07:34:48+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	76.05	4.56							ROCKVILLE	MD	20853-1214	US		FALSE			FALSE
000-0290323-5889802	000-0290323-5889802	2024-02-24T19:46:15+00:00	2024-02-24T19:46:25+00:00	Pending	Amazon	Amazon.com			Expedited	REDACTED_2	Unshipped	1	USD	89.55								Graham	Wa	98338	US		FALSE			FALSE
004-3690905-9262604	004-3690905-9262604	2024-02-24T08:04:13+00:00	2024-02-25T05:42:04+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	80.13	6.21							CHINO HILLS	CA	91709-5950	US		TRUE			FALSE
002-5306590-6066623	002-5306590-6066623	2024-02-23T18:15:37+00:00	2024-02-23T18:15:46+00:00	Pending	Amazon	Amazon.com			Expedited	REDACTED_1	Unshipped	1	USD	187.29								Wayne	NE	68787	US		FALSE			FALSE
003-6545434-3332244	003-6545434-3332244	2024-02-23T16:26:55+00:00	2024-02-24T04:18:02+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	80.55	5.84							CARY	NC	27513-5812	US		FALSE			FALSE
004-8800896-3400832	004-8800896-3400832	2024-02-23T15:28:58+00:00	2024-02-23T20:04:47+00:00	Pending	Amazon	Amazon.com			Expedited	REDACTED_2	Unshipped	1	USD	42.74								SAN CARLOS	CA	94070-4827	US		FALSE			FALSE
004-0834580-3029063	004-0834580-3029063	2024-02-23T10:05:23+00:00	2024-02-23T23:40:39+00:00	Pending	Amazon	Amazon.com			Expedited	REDACTED_2	Unshipped	1	USD	80.55								Sarita	TX	78385	US		FALSE			FALSE
004-0834580-3029063	004-0834580-3029063	2024-02-23T10:05:23+00:00	2024-02-23T23:40:39+00:00	Pending	Amazon	Amazon.com			Expedited	REDACTED_2	Unshipped	1	USD	62.55								Sarita	TX	78385	US		FALSE			FALSE
004-2366484-2253050	004-2366484-2253050	2024-02-23T05:20:09+00:00	2024-02-23T08:26:24+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	82.97	6.31							PUEBLO	CO	81001-1090	US		FALSE			FALSE
000-5885562-8888253	000-5885562-8888253	2024-02-23T03:24:13+00:00	2024-02-24T11:13:02+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_1	Shipped	1	USD	175	15.53	8.22					8.22	BROOKLYN	NY	11235-5011	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	FALSE			FALSE
004-0062849-9430609	004-0062849-9430609	2024-02-22T02:26:22+00:00	2024-02-23T05:20:47+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	46.09	4.1							ATLANTA	GA	30317-2916	US		FALSE			FALSE
004-2840566-4356202	004-2840566-4356202	2024-02-21T22:21:59+00:00	2024-02-22T08:50:16+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	1.68							WASHINGTON	DC	20002-7685	US		FALSE			FALSE
000-4323392-5904228	000-4323392-5904228	2024-02-21T01:59:49+00:00	2024-02-21T07:18:36+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	2.66							WOODLAND HILLS	CA	91367-8311	US		FALSE			FALSE
002-2232560-4060250	002-2232560-4060250	2024-02-19T20:22:29+00:00	2024-02-20T07:46:01+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	87	4.02							East Williston	NY	11596	US		FALSE			FALSE
004-3460433-4434652	004-3460433-4434652	2024-02-19T14:26:33+00:00	2024-02-20T22:20:03+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	98.48								CHARLESTOWN	MA	02129-2918	US		FALSE			FALSE
002-0920606-6994649	002-0920606-6994649	2024-02-19T00:34:38+00:00	2024-02-21T11:43:51+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_2	Shipped	1	USD	374	29.73							LAKE SAINT LOUIS	MO	63367-2431	US		FALSE			FALSE
003-2532004-6306633	003-2532004-6306633	2024-02-18T20:24:54+00:00	2024-02-19T07:12:34+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	121.99	10.37							SURPRISE	AZ	85374-9651	US		FALSE			FALSE
004-8342995-9809042	004-8342995-9809042	2024-02-18T06:43:13+00:00	2024-02-19T22:43:42+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	44.05	3.41							SANDY SPRINGS	GA	30328-4240	US		FALSE			FALSE
000-3226059-8023469	000-3226059-8023469	2024-02-17T23:23:43+00:00	2024-02-18T07:11:49+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	159.95	16.39							CHICAGO	IL	60610-5544	US		FALSE			FALSE
002-6892923-6836202	002-6892923-6836202	2024-02-17T22:37:42+00:00	2024-02-18T04:14:36+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	103								Ridgewood	NJ	7450	US		FALSE			FALSE
003-9048493-0338604	003-9048493-0338604	2024-02-16T20:08:41+00:00	2024-02-17T10:02:35+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	159.95								WALLINGFORD	PA	19086-6778	US		FALSE			FALSE
003-8350333-3658603	003-8350333-3658603	2024-02-15T22:57:10+00:00	2024-02-17T05:23:45+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	100	9.38							DURANT	OK	74701-4234	US		FALSE			FALSE
